Work,Education,MaritalStatus,Occupation,Relationship,Race,Gender,Country,Salary
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Married,Office Labour,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Not-Married,Manual Labour,Own-child,White,Male,North-America,<50K
Private,Bachelors,Married,Office Labour,Husband,White,Male,North-America,>=50K
Private,Associate,Separated,Admin,Unmarried,Black,Female,North-America,<50K
Self-emp,Associate,Married,Professional,Husband,Other,Male,North-America,<50K
Private,Associate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Self-emp,Professional,Married,Professional,Husband,White,Male,North-America,>=50K
Private,Bachelors,Married,Office Labour,Husband,White,Male,North-America,>=50K
Private,Bachelors,Not-Married,Office Labour,Not-in-family,White,Female,North-America,<50K
Self-emp,HS-Graduate,Not-Married,Office Labour,Other-relative,Asian-Pac-Islander,Male,Europe,<50K
Private,Masters,Married,Professional,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Not-Married,Service,Other-relative,Black,Female,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,>=50K
Private,Bachelors,Married,Professional,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Manual Labour,Other-relative,White,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Manual Labour,Own-child,White,Male,North-America,<50K
Private,Bachelors,Not-Married,Office Labour,Not-in-family,White,Male,North-America,>=50K
Private,HS-Graduate,Married,Office Labour,Husband,White,Male,North-America,>=50K
Government,Bachelors,Married,Office Labour,Husband,White,Male,North-America,>=50K
Private,Bachelors,Married,Professional,Husband,White,Male,North-America,>=50K
Private,Bachelors,Not-Married,Office Labour,Own-child,Asian-Pac-Islander,Male,North-America,<50K
Private,<Gr12,Not-Married,Service,Other-relative,White,Male,Asia,<50K
Government,Associate,Separated,Professional,Unmarried,Black,Female,North-America,<50K
Self-emp,HS-Graduate,Married,Office Labour,Husband,White,Male,North-America,>=50K
Private,<Gr12,Not-Married,Manual Labour,Not-in-family,Black,Male,North-America,<50K
Private,<Gr12,Separated,Manual Labour,Unmarried,White,Male,North-America,<50K
Private,HS-Graduate,Separated,Office Labour,Unmarried,White,Female,North-America,<50K
Government,Associate,Married,Military,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Married,Office Labour,Own-child,White,Female,North-America,>=50K
Government,Doctorate,Married,Admin,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Not-Married,Office Labour,Own-child,Black,Male,North-America,<50K
Private,Masters,Not-Married,Manual Labour,Not-in-family,White,Male,North-America,>=50K
Private,HS-Graduate,Separated,Manual Labour,Not-in-family,White,Female,North-America,<50K
Private,HS-Graduate,Not-Married,Service,Own-child,White,Female,North-America,<50K
Private,Bachelors,Not-Married,Office Labour,Not-in-family,Asian-Pac-Islander,Female,Europe,<50K
Private,HS-Graduate,Not-Married,Office Labour,Not-in-family,White,Male,North-America,<50K
Private,HS-Graduate,Married,Service,Husband,White,Male,Europe,<50K
Self-emp,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Not-Married,Manual Labour,Own-child,White,Male,North-America,<50K
Private,HS-Graduate,Separated,Service,Unmarried,White,Female,North-America,<50K
Private,Associate,Married,Admin,Wife,Amer-Indian-Eskimo,Female,North-America,>=50K
Self-emp,Bachelors,Married,Office Labour,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Not-Married,Service,Not-in-family,Black,Female,North-America,<50K
Government,HS-Graduate,Separated,Admin,Unmarried,White,Female,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Married,Manual Labour,Other-relative,Asian-Pac-Islander,Male,Asia,<50K
Private,HS-Graduate,Separated,Office Labour,Not-in-family,White,Female,North-America,<50K
Private,HS-Graduate,Married,Service,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Admin,Own-child,White,Male,North-America,<50K
Private,Masters,Married,Office Labour,Husband,White,Male,North-America,>=50K
Government,HS-Graduate,Separated,Professional,Unmarried,White,Male,North-America,<50K
Private,<Gr12,Not-Married,Manual Labour,Not-in-family,White,Male,South-America,<50K
Private,HS-Graduate,Not-Married,Office Labour,Own-child,White,Female,North-America,<50K
Private,Bachelors,Not-Married,Manual Labour,Own-child,White,Male,North-America,<50K
Private,Masters,Married,Office Labour,Husband,White,Male,North-America,>=50K
Private,<Gr12,Married,Service,Husband,Black,Male,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Self-emp,<Gr12,Married,Office Labour,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Married,Office Labour,Husband,White,Male,North-America,>=50K
Private,<Gr12,Separated,Office Labour,Not-in-family,White,Female,North-America,<50K
Private,HS-Graduate,Separated,Service,Not-in-family,White,Female,North-America,<50K
Government,HS-Graduate,Separated,Manual Labour,Not-in-family,White,Male,North-America,<50K
Government,Masters,Separated,Military,Not-in-family,White,Male,North-America,<50K
Self-emp,Bachelors,Married,Professional,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Not-Married,Manual Labour,Own-child,White,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Manual Labour,Not-in-family,White,Female,North-America,>=50K
Private,Associate,Married,Service,Husband,White,Male,North-America,<50K
Private,Bachelors,Not-Married,Office Labour,Not-in-family,White,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Office Labour,Not-in-family,Black,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Service,Own-child,White,Female,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,>=50K
Private,Associate,Married,Office Labour,Wife,White,Female,North-America,>=50K
Government,Bachelors,Not-Married,Professional,Not-in-family,White,Male,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,>=50K
Private,<Gr12,Not-Married,Manual Labour,Own-child,White,Male,North-America,<50K
Private,<Gr12,Married,Office Labour,Wife,White,Female,North-America,<50K
Private,HS-Graduate,Separated,Manual Labour,Unmarried,White,Male,South-America,<50K
Private,<Gr12,Separated,Service,Not-in-family,Black,Male,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,>=50K
Private,Bachelors,Not-Married,Manual Labour,Not-in-family,White,Female,North-America,<50K
Private,Doctorate,Not-Married,Professional,Not-in-family,White,Male,North-America,>=50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,>=50K
Private,Bachelors,Not-Married,Professional,Not-in-family,White,Male,North-America,<50K
Private,HS-Graduate,Married,Military,Husband,Black,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Office Labour,Not-in-family,White,Male,North-America,>=50K
Private,Masters,Married,Admin,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Separated,Admin,Own-child,White,Female,North-America,>=50K
Government,Bachelors,Separated,Professional,Not-in-family,White,Female,North-America,<50K
Private,<Gr12,Not-Married,Service,Other-relative,White,Female,North-America,<50K
Private,HS-Graduate,Not-Married,Professional,Not-in-family,White,Male,North-America,<50K
Private,Masters,Not-Married,Admin,Unmarried,White,Female,North-America,<50K
Private,Bachelors,Married,Professional,Husband,White,Male,North-America,<50K
Private,<Gr12,Married,Office Labour,Husband,White,Male,North-America,<50K
Private,Doctorate,Married,Office Labour,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Not-Married,Manual Labour,Own-child,White,Male,North-America,<50K
Private,Masters,Married,Office Labour,Husband,White,Male,North-America,>=50K
Government,HS-Graduate,Widowed,Admin,Not-in-family,White,Female,North-America,<50K
Private,HS-Graduate,Married,Admin,Wife,White,Female,North-America,>=50K
Private,HS-Graduate,Not-Married,Service,Own-child,White,Female,North-America,<50K
Private,<Gr12,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,Bachelors,Separated,Office Labour,Not-in-family,White,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Service,Own-child,White,Female,North-America,<50K
Private,HS-Graduate,Separated,Admin,Unmarried,White,Female,North-America,<50K
Private,Associate,Married,Office Labour,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Separated,Office Labour,Not-in-family,White,Female,North-America,<50K
Government,HS-Graduate,Married,Military,Husband,White,Male,North-America,>=50K
Private,Bachelors,Not-Married,Admin,Unmarried,White,Male,North-America,<50K
Private,<Gr12,Married,Manual Labour,Husband,Asian-Pac-Islander,Male,Asia,<50K
Private,HS-Graduate,Not-Married,Office Labour,Not-in-family,White,Male,North-America,<50K
Private,<Gr12,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,>=50K
Self-emp,Professional,Married,Professional,Husband,White,Male,North-America,>=50K
Self-emp,HS-Graduate,Separated,Service,Unmarried,White,Female,North-America,<50K
Self-emp,Bachelors,Married,Office Labour,Husband,White,Male,Europe,<50K
Private,HS-Graduate,Not-Married,Manual Labour,Not-in-family,White,Male,North-America,<50K
Government,Masters,Married,Professional,Husband,White,Male,North-America,<50K
Self-emp,Professional,Married,Professional,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Married,Admin,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Married,Admin,Husband,White,Male,North-America,>=50K
Government,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,>=50K
Self-emp,Professional,Not-Married,Professional,Not-in-family,White,Male,North-America,>=50K
Private,Associate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Government,HS-Graduate,Not-Married,Service,Own-child,White,Female,North-America,<50K
Private,<Gr12,Not-Married,Service,Not-in-family,White,Male,South-America,<50K
Private,Bachelors,Married,Office Labour,Husband,White,Male,North-America,>=50K
Self-emp,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,Associate,Separated,Manual Labour,Not-in-family,White,Female,North-America,<50K
Private,HS-Graduate,Separated,Manual Labour,Unmarried,White,Male,North-America,<50K
Private,Associate,Not-Married,Office Labour,Own-child,White,Female,North-America,<50K
Private,HS-Graduate,Not-Married,Admin,Other-relative,White,Female,North-America,<50K
Private,HS-Graduate,Not-Married,Manual Labour,Own-child,White,Male,North-America,<50K
Private,HS-Graduate,Married,Office Labour,Wife,White,Female,North-America,<50K
Private,HS-Graduate,Separated,Manual Labour,Own-child,White,Male,North-America,<50K
Private,Masters,Separated,Manual Labour,Not-in-family,White,Male,North-America,>=50K
Government,Professional,Married,Military,Husband,White,Male,North-America,>=50K
Private,Associate,Separated,Office Labour,Unmarried,White,Female,North-America,<50K
Private,HS-Graduate,Not-Married,Military,Not-in-family,White,Male,North-America,<50K
Self-emp,Bachelors,Married,Office Labour,Own-child,White,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Professional,Own-child,White,Female,North-America,<50K
Self-emp,HS-Graduate,Married,Office Labour,Husband,White,Male,North-America,<50K
Private,<Gr12,Married,Manual Labour,Husband,White,Male,Europe,<50K
Private,HS-Graduate,Not-Married,Manual Labour,Own-child,White,Male,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,<Gr12,Married,Manual Labour,Husband,Black,Male,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,<Gr12,Not-Married,Service,Own-child,White,Male,South-America,<50K
Private,HS-Graduate,Married,Service,Husband,White,Male,South-America,<50K
Private,<Gr12,Not-Married,Manual Labour,Own-child,White,Male,South-America,<50K
Private,HS-Graduate,Separated,Admin,Unmarried,White,Female,North-America,<50K
Self-emp,<Gr12,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,Bachelors,Not-Married,Professional,Not-in-family,White,Male,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,<Gr12,Not-Married,Office Labour,Own-child,White,Female,North-America,<50K
Self-emp,Bachelors,Married,Professional,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Married,Office Labour,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Separated,Office Labour,Unmarried,Black,Female,North-America,>=50K
Private,<Gr12,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,<Gr12,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,Bachelors,Married,Professional,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,>=50K
Private,Associate,Married,Manual Labour,Husband,White,Male,North-America,>=50K
Self-emp,Masters,Married,Professional,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Not-Married,Admin,Own-child,Other,Female,North-America,<50K
Private,Associate,Separated,Office Labour,Other-relative,White,Female,North-America,<50K
Private,HS-Graduate,Not-Married,Professional,Not-in-family,White,Female,North-America,<50K
Private,HS-Graduate,Married,Office Labour,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Married,Office Labour,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Service,Own-child,White,Female,North-America,<50K
Private,Doctorate,Married,Professional,Husband,White,Male,North-America,>=50K
Government,HS-Graduate,Married,Manual Labour,Wife,White,Female,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,>=50K
Government,HS-Graduate,Not-Married,Admin,Unmarried,Black,Female,North-America,<50K
Private,Associate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Office Labour,Other-relative,Black,Female,North-America,<50K
Private,Masters,Married,Office Labour,Husband,Asian-Pac-Islander,Male,Asia,>=50K
Private,HS-Graduate,Separated,Service,Not-in-family,White,Female,North-America,<50K
Self-emp,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Government,Associate,Widowed,Admin,Not-in-family,Black,Female,North-America,<50K
Private,HS-Graduate,Separated,Office Labour,Not-in-family,Amer-Indian-Eskimo,Female,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Married,Admin,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Admin,Other-relative,White,Female,North-America,<50K
Private,HS-Graduate,Not-Married,Professional,Not-in-family,Black,Male,North-America,<50K
Private,HS-Graduate,Separated,Office Labour,Not-in-family,White,Female,North-America,<50K
Private,Associate,Not-Married,Admin,Own-child,White,Female,North-America,<50K
Private,Associate,Not-Married,Office Labour,Not-in-family,White,Female,North-America,<50K
Government,HS-Graduate,Not-Married,Office Labour,Own-child,White,Female,North-America,<50K
Private,Bachelors,Married,Service,Wife,White,Female,North-America,<50K
Private,HS-Graduate,Not-Married,Office Labour,Own-child,White,Female,North-America,<50K
Private,<Gr12,Married,Manual Labour,Husband,Asian-Pac-Islander,Male,Asia,<50K
Government,HS-Graduate,Separated,Admin,Not-in-family,White,Female,Europe,<50K
Private,<Gr12,Separated,Service,Unmarried,White,Female,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,>=50K
Self-emp,HS-Graduate,Married,Office Labour,Husband,White,Male,North-America,>=50K
Government,HS-Graduate,Married,Office Labour,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Married,Military,Husband,White,Male,North-America,>=50K
Private,Bachelors,Married,Manual Labour,Husband,White,Male,North-America,<50K
Government,Bachelors,Married,Admin,Husband,White,Male,Europe,>=50K
Private,HS-Graduate,Not-Married,Admin,Own-child,White,Male,North-America,<50K
Self-emp,Associate,Married,Office Labour,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Not-Married,Manual Labour,Own-child,White,Male,North-America,<50K
Private,<Gr12,Separated,Service,Not-in-family,White,Female,North-America,<50K
Private,HS-Graduate,Not-Married,Manual Labour,Not-in-family,White,Male,North-America,<50K
Private,Associate,Separated,Professional,Unmarried,White,Female,North-America,<50K
Self-emp,HS-Graduate,Not-Married,Manual Labour,Own-child,White,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Office Labour,Not-in-family,White,Female,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,<Gr12,Not-Married,Service,Own-child,Black,Male,North-America,<50K
Private,HS-Graduate,Separated,Office Labour,Unmarried,White,Female,North-America,<50K
Private,<Gr12,Married,Manual Labour,Husband,White,Male,South-America,<50K
Private,Associate,Married,Office Labour,Wife,Black,Female,North-America,<50K
Private,HS-Graduate,Separated,Manual Labour,Not-in-family,Black,Male,Carribean,<50K
Private,Associate,Married,Office Labour,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Separated,Manual Labour,Not-in-family,White,Male,North-America,<50K
Self-emp,HS-Graduate,Married,Office Labour,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Married,Office Labour,Husband,White,Male,North-America,<50K
Private,Masters,Married,Office Labour,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Not-Married,Service,Not-in-family,White,Male,North-America,<50K
Private,HS-Graduate,Widowed,Service,Unmarried,White,Female,North-America,<50K
Self-emp,HS-Graduate,Married,Office Labour,Husband,White,Male,North-America,<50K
Private,Associate,Married,Manual Labour,Husband,White,Male,North-America,>=50K
Private,Masters,Married,Professional,Wife,White,Female,North-America,>=50K
Self-emp,HS-Graduate,Married,Office Labour,Husband,White,Male,North-America,<50K
Self-emp,<Gr12,Separated,Manual Labour,Unmarried,White,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Manual Labour,Not-in-family,White,Male,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,<Gr12,Not-Married,Office Labour,Own-child,White,Female,North-America,<50K
Private,<Gr12,Not-Married,Service,Own-child,White,Male,North-America,<50K
Private,HS-Graduate,Widowed,Manual Labour,Not-in-family,White,Female,North-America,<50K
Private,Bachelors,Married,Office Labour,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Not-Married,Office Labour,Own-child,Black,Female,North-America,<50K
Private,<Gr12,Married,Service,Husband,White,Male,Carribean,<50K
Self-emp,HS-Graduate,Separated,Office Labour,Unmarried,White,Male,North-America,<50K
Private,Masters,Married,Professional,Husband,White,Male,North-America,>=50K
Private,Bachelors,Separated,Office Labour,Not-in-family,White,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Admin,Not-in-family,White,Female,North-America,<50K
Private,Bachelors,Married,Office Labour,Husband,White,Male,Europe,>=50K
Private,HS-Graduate,Not-Married,Manual Labour,Not-in-family,White,Female,North-America,<50K
Private,<Gr12,Not-Married,Service,Not-in-family,White,Female,South-America,<50K
Private,<Gr12,Not-Married,Service,Own-child,White,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Manual Labour,Own-child,White,Male,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Service,Other-relative,Amer-Indian-Eskimo,Female,North-America,<50K
Private,HS-Graduate,Separated,Manual Labour,Own-child,White,Male,North-America,<50K
Self-emp,Bachelors,Married,Office Labour,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Not-Married,Service,Own-child,White,Male,North-America,<50K
Private,<Gr12,Not-Married,Service,Own-child,White,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Admin,Own-child,Black,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Manual Labour,Own-child,White,Male,North-America,<50K
Self-emp,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,Associate,Married,Manual Labour,Husband,White,Male,North-America,>=50K
Private,<Gr12,Not-Married,Manual Labour,Not-in-family,White,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Admin,Own-child,White,Female,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,South-America,<50K
Self-emp,<Gr12,Married,Office Labour,Husband,White,Male,North-America,<50K
Private,Masters,Married,Office Labour,Husband,White,Male,North-America,<50K
Private,Masters,Not-Married,Professional,Not-in-family,White,Female,North-America,<50K
Private,HS-Graduate,Separated,Manual Labour,Not-in-family,White,Male,North-America,<50K
Private,Bachelors,Not-Married,Professional,Not-in-family,White,Female,North-America,<50K
Self-emp,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,Bachelors,Married,Manual Labour,Husband,White,Male,North-America,>=50K
Private,<Gr12,Separated,Office Labour,Own-child,White,Female,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,<Gr12,Not-Married,Manual Labour,Not-in-family,Black,Male,Carribean,<50K
Government,Bachelors,Married,Professional,Husband,White,Male,North-America,>=50K
Government,<Gr12,Not-Married,Service,Unmarried,Black,Female,North-America,<50K
Self-emp,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Separated,Manual Labour,Not-in-family,White,Male,North-America,<50K
Self-emp,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,>=50K
Self-emp,Masters,Not-Married,Office Labour,Not-in-family,White,Male,North-America,>=50K
Private,<Gr12,Married,Manual Labour,Husband,White,Male,South-America,<50K
Private,HS-Graduate,Not-Married,Service,Not-in-family,Amer-Indian-Eskimo,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Manual Labour,Own-child,White,Male,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,<Gr12,Married,Manual Labour,Husband,Black,Male,North-America,<50K
Private,Masters,Married,Office Labour,Husband,White,Male,North-America,>=50K
Self-emp,<Gr12,Not-Married,Manual Labour,Not-in-family,White,Male,Europe,<50K
Self-emp,HS-Graduate,Separated,Office Labour,Unmarried,White,Male,North-America,<50K
Self-emp,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Government,HS-Graduate,Not-Married,Office Labour,Not-in-family,White,Male,North-America,<50K
Government,<Gr12,Not-Married,Admin,Other-relative,White,Male,North-America,<50K
Private,Bachelors,Married,Professional,Wife,White,Female,North-America,>=50K
Private,Bachelors,Not-Married,Office Labour,Own-child,Black,Female,North-America,<50K
Private,HS-Graduate,Not-Married,Service,Not-in-family,White,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Admin,Own-child,White,Female,North-America,<50K
Private,HS-Graduate,Not-Married,Admin,Not-in-family,White,Female,North-America,<50K
Government,Associate,Married,Military,Husband,White,Male,North-America,<50K
Private,Bachelors,Not-Married,Admin,Other-relative,White,Female,North-America,<50K
Private,HS-Graduate,Not-Married,Admin,Own-child,Asian-Pac-Islander,Female,North-America,<50K
Private,HS-Graduate,Not-Married,Manual Labour,Own-child,White,Male,North-America,<50K
Government,Bachelors,Married,Admin,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Married,Manual Labour,Other-relative,White,Male,South-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Married,Office Labour,Wife,White,Female,North-America,<50K
Self-emp,HS-Graduate,Married,Office Labour,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Wife,Asian-Pac-Islander,Female,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Self-emp,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Married,Service,Husband,White,Male,North-America,<50K
Private,Bachelors,Not-Married,Office Labour,Not-in-family,White,Male,North-America,<50K
Private,Associate,Married,Admin,Wife,Black,Female,North-America,<50K
Self-emp,HS-Graduate,Separated,Manual Labour,Unmarried,White,Male,North-America,>=50K
Private,HS-Graduate,Not-Married,Manual Labour,Own-child,Black,Female,North-America,<50K
Private,HS-Graduate,Not-Married,Admin,Own-child,White,Male,Europe,<50K
Private,HS-Graduate,Not-Married,Office Labour,Not-in-family,White,Male,North-America,<50K
Private,<Gr12,Not-Married,Service,Own-child,White,Female,North-America,<50K
Government,HS-Graduate,Married,Admin,Wife,White,Female,North-America,<50K
Private,Bachelors,Not-Married,Office Labour,Not-in-family,White,Female,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,>=50K
Self-emp,Masters,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Separated,Manual Labour,Not-in-family,White,Female,North-America,>=50K
Private,<Gr12,Separated,Service,Unmarried,White,Female,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,Bachelors,Separated,Professional,Unmarried,White,Male,North-America,<50K
Self-emp,HS-Graduate,Married,Office Labour,Husband,White,Male,North-America,>=50K
Private,Masters,Separated,Professional,Not-in-family,White,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Manual Labour,Own-child,White,Male,North-America,<50K
Self-emp,Bachelors,Married,Office Labour,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Married,Office Labour,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Married,Professional,Wife,White,Female,North-America,>=50K
Government,HS-Graduate,Not-Married,Manual Labour,Own-child,Black,Male,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Separated,Admin,Unmarried,White,Female,North-America,<50K
Private,Bachelors,Not-Married,Admin,Not-in-family,Black,Female,North-America,<50K
Private,HS-Graduate,Not-Married,Admin,Not-in-family,White,Female,North-America,>=50K
Private,HS-Graduate,Widowed,Office Labour,Not-in-family,White,Male,North-America,>=50K
Private,HS-Graduate,Not-Married,Manual Labour,Own-child,White,Male,North-America,<50K
Private,HS-Graduate,Married,Office Labour,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Separated,Manual Labour,Not-in-family,White,Male,North-America,>=50K
Private,HS-Graduate,Married,Service,Wife,White,Female,North-America,>=50K
Private,<Gr12,Not-Married,Manual Labour,Not-in-family,White,Male,North-America,<50K
Private,Bachelors,Married,Professional,Husband,White,Male,North-America,>=50K
Private,Bachelors,Not-Married,Professional,Not-in-family,White,Male,North-America,>=50K
Private,<Gr12,Not-Married,Office Labour,Own-child,White,Female,North-America,<50K
Government,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Self-emp,Bachelors,Married,Office Labour,Husband,White,Male,North-America,<50K
Private,Bachelors,Married,Professional,Wife,White,Female,North-America,>=50K
Private,HS-Graduate,Not-Married,Office Labour,Own-child,White,Female,North-America,<50K
Private,<Gr12,Separated,Office Labour,Unmarried,White,Female,North-America,<50K
Private,Bachelors,Not-Married,Professional,Not-in-family,White,Male,North-America,<50K
Private,Bachelors,Not-Married,Professional,Not-in-family,White,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Admin,Unmarried,White,Female,North-America,<50K
Private,HS-Graduate,Not-Married,Admin,Not-in-family,White,Female,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Wife,White,Female,North-America,>=50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,Associate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,<Gr12,Married,Manual Labour,Husband,White,Male,South-America,<50K
Private,HS-Graduate,Married,Service,Wife,White,Female,North-America,<50K
Private,HS-Graduate,Not-Married,Admin,Own-child,White,Female,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Wife,White,Female,North-America,<50K
Government,HS-Graduate,Separated,Office Labour,Own-child,White,Male,North-America,<50K
Self-emp,HS-Graduate,Separated,Office Labour,Not-in-family,White,Male,North-America,<50K
Self-emp,Bachelors,Married,Office Labour,Husband,White,Male,North-America,>=50K
