job_title,industry,company_size,salary,experience_years,education_level,skills_count,connections,data_source,date_updated
VP of Engineering,Media & Communications,51-200,115699,8,No Degree,21,2323,linkedin,2025-09-01 00:52:04.495697
Software Developer,Government,1001-5000,106881,11,PhD,48,238,linkedin,2025-09-10 00:52:04.495701
Lead Software Developer,Non-profit,5000+,67005,24,Master,11,4810,linkedin,2025-08-03 00:52:04.495705
CTO,Technology,501-1000,199334,16,Master,5,2903,linkedin,2025-06-22 00:52:04.495709
ML Engineer,Consulting,1-10,137648,2,Master,22,1813,linkedin,2025-08-25 00:52:04.495713
ML Engineer,Energy,11-50,88643,13,Master,6,2810,linkedin,2025-06-22 00:52:04.495717
Site Reliability Engineer,Retail,51-200,107125,23,PhD,29,1309,linkedin,2025-07-15 00:52:04.495721
ML Engineer,Media & Communications,201-500,109770,12,Certificate,27,3725,linkedin,2025-07-10 00:52:04.495731
Software Architect,Energy,5000+,150634,8,No Degree,20,4855,linkedin,2025-08-11 00:52:04.495735
Senior Software Developer,Consulting,1-10,88474,19,PhD,10,4519,linkedin,2025-07-15 00:52:04.495739
Engineering Director,Government,5000+,105480,15,No Degree,33,4447,linkedin,2025-08-25 00:52:04.495743
Software Developer,Government,1001-5000,121171,19,PhD,35,1575,linkedin,2025-07-14 00:52:04.495747
ML Engineer,Consulting,201-500,198935,17,Master,5,683,linkedin,2025-07-08 00:52:04.495751
Data Engineer,Non-profit,201-500,47546,12,No Degree,48,4381,linkedin,2025-08-11 00:52:04.495755
Platform Engineer,Manufacturing,1001-5000,120294,24,Bachelor,33,2494,linkedin,2025-08-05 00:52:04.495758
Lead Software Developer,Manufacturing,1001-5000,87053,11,Certificate,45,3931,linkedin,2025-09-17 00:52:04.495762
Lead Software Developer,Consulting,201-500,175309,4,No Degree,45,4258,linkedin,2025-07-22 00:52:04.495766
Data Engineer,Retail,201-500,89145,11,Bachelor,42,4623,linkedin,2025-09-13 00:52:04.495770
Lead Software Developer,Real Estate,1-10,48579,16,PhD,47,1139,linkedin,2025-09-12 00:52:04.495774
VP of Engineering,Media & Communications,5000+,154219,19,Bachelor,34,2455,linkedin,2025-08-22 00:52:04.495778
Software Developer,Non-profit,1001-5000,124148,13,PhD,39,2159,linkedin,2025-07-18 00:52:04.495782
Software Architect,Education,501-1000,106330,6,Bachelor,14,2540,linkedin,2025-06-29 00:52:04.495791
Technical Lead,Media & Communications,1-10,79891,22,Certificate,20,929,linkedin,2025-07-06 00:52:04.495796
Senior Software Developer,Education,501-1000,100528,21,No Degree,48,103,linkedin,2025-09-02 00:52:04.495800
Lead Software Developer,Financial Services,1-10,144034,25,Master,30,4100,linkedin,2025-08-25 00:52:04.495804
Platform Engineer,Non-profit,1001-5000,67556,3,Certificate,44,2169,linkedin,2025-09-01 00:52:04.495808
Senior Software Developer,Manufacturing,1001-5000,120046,25,Certificate,31,3543,linkedin,2025-08-13 00:52:04.495812
Senior Software Developer,Education,1-10,53919,16,No Degree,19,2939,linkedin,2025-08-25 00:52:04.495816
Engineering Director,Education,201-500,59191,12,Master,49,304,linkedin,2025-07-10 00:52:04.495820
Senior Software Developer,Consulting,1001-5000,136033,25,Master,5,142,linkedin,2025-09-08 00:52:04.495824
VP of Engineering,Energy,1-10,97046,21,No Degree,19,1562,linkedin,2025-09-06 00:52:04.495828
Lead Software Developer,Retail,501-1000,130148,2,Bachelor,36,2518,linkedin,2025-09-09 00:52:04.495832
VP of Engineering,Energy,201-500,121332,23,PhD,18,408,linkedin,2025-07-09 00:52:04.495836
Software Developer,Manufacturing,5000+,137870,10,Master,40,2026,linkedin,2025-09-05 00:52:04.495839
CTO,Manufacturing,11-50,96686,7,Master,24,3229,linkedin,2025-08-16 00:52:04.495843
CTO,Media & Communications,1-10,60788,2,Certificate,8,3323,linkedin,2025-09-10 00:52:04.495847
CTO,Manufacturing,1001-5000,113943,8,Certificate,34,4428,linkedin,2025-07-11 00:52:04.495851
Lead Software Developer,Non-profit,1-10,55753,9,Bachelor,39,1065,linkedin,2025-09-12 00:52:04.495855
CTO,Technology,11-50,118861,20,Bachelor,37,2207,linkedin,2025-07-19 00:52:04.495859
Data Engineer,Non-profit,1001-5000,93370,2,Bachelor,46,878,linkedin,2025-07-21 00:52:04.495863
Site Reliability Engineer,Technology,51-200,119228,25,Certificate,22,3908,linkedin,2025-06-28 00:52:04.495867
VP of Engineering,Real Estate,1001-5000,111847,11,No Degree,45,3134,linkedin,2025-07-21 00:52:04.495870
CTO,Retail,501-1000,203996,1,Master,19,3364,linkedin,2025-06-29 00:52:04.495874
Site Reliability Engineer,Education,51-200,93228,21,No Degree,22,4107,linkedin,2025-07-02 00:52:04.495878
Software Developer,Financial Services,5000+,205432,19,No Degree,50,4883,linkedin,2025-06-29 00:52:04.495882
Site Reliability Engineer,Consulting,5000+,150294,16,No Degree,23,4523,linkedin,2025-07-28 00:52:04.495886
Lead Software Developer,Retail,11-50,75855,25,Bachelor,39,136,linkedin,2025-08-12 00:52:04.495890
Software Architect,Retail,11-50,82704,9,Master,6,2260,linkedin,2025-07-01 00:52:04.495894
Lead Software Developer,Government,1-10,65250,15,Bachelor,5,292,linkedin,2025-08-29 00:52:04.495898
CTO,Manufacturing,51-200,50339,11,PhD,33,2944,linkedin,2025-08-23 00:52:04.495902
ML Engineer,Energy,201-500,63499,10,Bachelor,32,1827,linkedin,2025-07-12 00:52:04.495906
Engineering Director,Healthcare,1-10,70289,4,Certificate,14,1757,linkedin,2025-09-11 00:52:04.495910
Engineering Director,Consulting,501-1000,143884,6,Bachelor,35,1535,linkedin,2025-07-30 00:52:04.495914
Platform Engineer,Consulting,11-50,96462,1,No Degree,8,2215,linkedin,2025-07-09 00:52:04.495918
Platform Engineer,Real Estate,1-10,104084,18,No Degree,50,3616,linkedin,2025-06-21 00:52:04.495922
Senior Software Developer,Financial Services,11-50,75339,25,PhD,37,269,linkedin,2025-08-10 00:52:04.495926
Site Reliability Engineer,Media & Communications,11-50,69439,2,Certificate,25,3904,linkedin,2025-07-18 00:52:04.495930
Senior Software Developer,Healthcare,1-10,115369,5,Certificate,11,3415,linkedin,2025-07-13 00:52:04.495934
Software Developer,Financial Services,501-1000,164831,17,Bachelor,47,3818,linkedin,2025-07-26 00:52:04.495938
Software Architect,Manufacturing,51-200,116015,5,Bachelor,26,1347,linkedin,2025-07-26 00:52:04.495942
Software Architect,Education,5000+,160963,21,Certificate,12,695,linkedin,2025-09-16 00:52:04.495946
Software Developer,Education,201-500,69099,18,Certificate,38,3648,linkedin,2025-08-13 00:52:04.495950
Site Reliability Engineer,Manufacturing,5000+,129697,10,Bachelor,23,3972,linkedin,2025-08-18 00:52:04.495954
ML Engineer,Retail,5000+,123941,10,Certificate,40,4763,linkedin,2025-08-06 00:52:04.495958
Platform Engineer,Consulting,201-500,64123,10,Master,26,1512,linkedin,2025-08-08 00:52:04.495962
CTO,Education,201-500,77112,18,No Degree,41,4124,linkedin,2025-07-18 00:52:04.495966
Platform Engineer,Consulting,5000+,194754,19,PhD,10,3278,linkedin,2025-06-29 00:52:04.495970
Software Developer,Manufacturing,11-50,97055,24,Master,47,2141,linkedin,2025-06-25 00:52:04.495974
Site Reliability Engineer,Education,5000+,122867,1,Bachelor,21,239,linkedin,2025-07-01 00:52:04.495978
Site Reliability Engineer,Retail,1001-5000,111906,2,Certificate,46,728,linkedin,2025-08-04 00:52:04.495982
Senior Software Developer,Real Estate,501-1000,95301,20,Certificate,47,1922,linkedin,2025-08-30 00:52:04.495986
Software Developer,Consulting,1001-5000,195225,10,Certificate,36,1336,linkedin,2025-08-05 00:52:04.495990
ML Engineer,Energy,201-500,91507,3,Bachelor,28,2922,linkedin,2025-06-22 00:52:04.495994
Platform Engineer,Real Estate,5000+,142778,8,Master,37,2485,linkedin,2025-09-06 00:52:04.495998
Lead Software Developer,Manufacturing,5000+,138430,22,No Degree,48,241,linkedin,2025-07-24 00:52:04.496002
Data Engineer,Healthcare,1001-5000,185493,25,No Degree,10,2728,linkedin,2025-06-20 00:52:04.496006
VP of Engineering,Energy,201-500,129878,2,Master,6,4816,linkedin,2025-07-11 00:52:04.496010
Engineering Director,Technology,1-10,66807,21,No Degree,18,2254,linkedin,2025-08-23 00:52:04.496014
ML Engineer,Media & Communications,11-50,60116,14,Master,25,3664,linkedin,2025-07-12 00:52:04.496018
Site Reliability Engineer,Technology,501-1000,169648,16,Certificate,44,2138,linkedin,2025-08-12 00:52:04.496022
Lead Software Developer,Education,51-200,74777,23,PhD,11,3576,linkedin,2025-07-20 00:52:04.496026
Lead Software Developer,Manufacturing,1-10,67351,18,Certificate,23,2077,linkedin,2025-09-15 00:52:04.496030
VP of Engineering,Non-profit,51-200,83384,16,PhD,13,1746,linkedin,2025-08-31 00:52:04.496034
Data Engineer,Manufacturing,11-50,89506,24,PhD,38,4056,linkedin,2025-09-14 00:52:04.496037
Site Reliability Engineer,Non-profit,1001-5000,87583,6,No Degree,26,953,linkedin,2025-07-26 00:52:04.496041
Lead Software Developer,Real Estate,501-1000,136225,23,No Degree,7,4658,linkedin,2025-08-09 00:52:04.496045
Technical Lead,Retail,501-1000,103309,5,Certificate,13,3688,linkedin,2025-07-18 00:52:04.496049
Software Architect,Consulting,1-10,126962,6,PhD,38,887,linkedin,2025-09-01 00:52:04.496053
Data Engineer,Real Estate,201-500,83912,13,Certificate,19,2278,linkedin,2025-09-17 00:52:04.496057
Senior Software Developer,Media & Communications,501-1000,132722,15,PhD,21,3930,linkedin,2025-07-25 00:52:04.496061
Site Reliability Engineer,Retail,11-50,116148,25,Master,24,3384,linkedin,2025-07-01 00:52:04.496065
Data Engineer,Manufacturing,5000+,87204,11,Bachelor,31,4955,linkedin,2025-08-26 00:52:04.496069
CTO,Financial Services,51-200,121584,3,Certificate,11,2127,linkedin,2025-08-01 00:52:04.496072
Platform Engineer,Energy,11-50,109914,21,No Degree,24,2784,linkedin,2025-08-15 00:52:04.496085
CTO,Real Estate,1-10,97987,23,PhD,5,288,linkedin,2025-08-03 00:52:04.496090
Technical Lead,Education,1001-5000,94564,11,No Degree,7,4070,linkedin,2025-07-26 00:52:04.496093
Technical Lead,Manufacturing,501-1000,93061,15,No Degree,24,1042,linkedin,2025-08-20 00:52:04.496097
Platform Engineer,Government,11-50,84746,4,Master,34,3669,linkedin,2025-09-12 00:52:04.496101
Data Engineer,Education,5000+,137882,8,Master,27,2444,linkedin,2025-07-10 00:52:04.496105
Platform Engineer,Healthcare,5000+,103702,5,PhD,28,1138,linkedin,2025-08-12 00:52:04.496109
Data Engineer,Government,1-10,42500,13,Bachelor,47,1648,linkedin,2025-08-02 00:52:04.496113
Technical Lead,Consulting,1-10,96335,16,Certificate,49,2990,linkedin,2025-08-09 00:52:04.496117
Senior Software Developer,Manufacturing,5000+,153926,9,Bachelor,11,4840,linkedin,2025-06-26 00:52:04.496121
Software Developer,Financial Services,1001-5000,159972,4,PhD,48,3888,linkedin,2025-08-20 00:52:04.496125
Platform Engineer,Non-profit,1001-5000,101131,22,Bachelor,45,1487,linkedin,2025-07-06 00:52:04.496129
Platform Engineer,Government,11-50,56256,11,No Degree,21,2407,linkedin,2025-07-08 00:52:04.496133
Software Developer,Energy,1001-5000,58208,4,Master,34,3989,linkedin,2025-09-08 00:52:04.496136
CTO,Healthcare,201-500,102768,23,Bachelor,25,3255,linkedin,2025-06-27 00:52:04.496140
Engineering Director,Government,11-50,69481,20,Bachelor,42,887,linkedin,2025-06-22 00:52:04.496144
Technical Lead,Education,51-200,70759,16,No Degree,21,214,linkedin,2025-07-12 00:52:04.496148
Platform Engineer,Technology,11-50,78955,1,No Degree,43,1410,linkedin,2025-08-27 00:52:04.496152
Platform Engineer,Non-profit,1-10,35000,13,PhD,11,3287,linkedin,2025-08-07 00:52:04.496156
Site Reliability Engineer,Government,51-200,66232,2,Master,49,4728,linkedin,2025-08-17 00:52:04.496160
VP of Engineering,Education,51-200,93055,11,Master,31,2713,linkedin,2025-07-08 00:52:04.496164
Lead Software Developer,Education,501-1000,119841,1,Master,20,4606,linkedin,2025-07-30 00:52:04.496168
VP of Engineering,Retail,11-50,110887,14,Bachelor,5,4641,linkedin,2025-09-16 00:52:04.496172
ML Engineer,Retail,501-1000,90746,1,Bachelor,38,4619,linkedin,2025-07-14 00:52:04.496176
Software Developer,Technology,1001-5000,114243,8,Bachelor,5,2821,linkedin,2025-08-24 00:52:04.496180
Data Engineer,Education,11-50,76892,18,Certificate,38,4024,linkedin,2025-06-29 00:52:04.496184
Site Reliability Engineer,Healthcare,1001-5000,157419,21,Master,8,1661,linkedin,2025-09-16 00:52:04.496188
Senior Software Developer,Education,1-10,66882,18,Bachelor,32,4778,linkedin,2025-08-27 00:52:04.496192
Software Architect,Healthcare,5000+,72635,23,No Degree,34,3200,linkedin,2025-06-27 00:52:04.496196
Lead Software Developer,Manufacturing,1-10,59529,12,PhD,9,2954,linkedin,2025-06-20 00:52:04.496200
ML Engineer,Financial Services,501-1000,158415,2,Certificate,5,1139,linkedin,2025-07-21 00:52:04.496204
Lead Software Developer,Energy,501-1000,127885,22,Master,49,4968,linkedin,2025-08-09 00:52:04.496208
Platform Engineer,Healthcare,501-1000,149455,14,Master,26,4506,linkedin,2025-08-18 00:52:04.496212
ML Engineer,Media & Communications,11-50,88583,23,Certificate,17,4682,linkedin,2025-07-05 00:52:04.496215
Data Engineer,Real Estate,201-500,113141,21,PhD,44,2752,linkedin,2025-08-04 00:52:04.496219
Senior Software Developer,Non-profit,1-10,54328,20,Master,19,2064,linkedin,2025-08-02 00:52:04.496223
Data Engineer,Retail,501-1000,133540,12,Certificate,14,4322,linkedin,2025-06-26 00:52:04.496227
Technical Lead,Consulting,201-500,135208,21,Master,46,4324,linkedin,2025-07-02 00:52:04.496231
VP of Engineering,Financial Services,1-10,108148,22,No Degree,6,2968,linkedin,2025-08-07 00:52:04.496235
CTO,Government,51-200,70900,7,Bachelor,49,1325,linkedin,2025-07-04 00:52:04.496239
Senior Software Developer,Manufacturing,51-200,96930,24,No Degree,43,567,linkedin,2025-06-23 00:52:04.496243
Technical Lead,Non-profit,1-10,59645,14,Certificate,41,2784,linkedin,2025-06-29 00:52:04.496247
Lead Software Developer,Real Estate,1001-5000,131758,2,Master,34,4980,linkedin,2025-07-14 00:52:04.496251
Platform Engineer,Non-profit,1001-5000,94680,23,Bachelor,22,2789,linkedin,2025-08-15 00:52:04.496255
Senior Software Developer,Government,5000+,142116,3,No Degree,44,1091,linkedin,2025-07-19 00:52:04.496259
Lead Software Developer,Real Estate,501-1000,121557,9,PhD,38,2564,linkedin,2025-07-11 00:52:04.496263
CTO,Energy,51-200,79586,19,PhD,7,461,linkedin,2025-07-06 00:52:04.496267
VP of Engineering,Healthcare,11-50,114825,18,No Degree,30,2939,linkedin,2025-07-10 00:52:04.496271
CTO,Technology,1001-5000,105714,6,Bachelor,8,4666,linkedin,2025-06-28 00:52:04.496275
Software Developer,Real Estate,51-200,69316,15,Bachelor,10,4768,linkedin,2025-07-16 00:52:04.496279
Software Architect,Media & Communications,5000+,144166,22,PhD,33,2733,linkedin,2025-06-22 00:52:04.496283
Platform Engineer,Healthcare,501-1000,141589,5,PhD,27,3160,linkedin,2025-06-28 00:52:04.496287
Data Engineer,Manufacturing,1-10,52344,23,No Degree,22,3576,linkedin,2025-07-03 00:52:04.496291
Software Developer,Energy,1-10,68726,4,PhD,49,4704,linkedin,2025-09-03 00:52:04.496295
Software Architect,Healthcare,201-500,97532,5,PhD,50,1633,linkedin,2025-08-11 00:52:04.496299
Platform Engineer,Non-profit,1001-5000,75931,10,Certificate,48,404,linkedin,2025-09-17 00:52:04.496302
Engineering Director,Healthcare,1-10,103321,19,Bachelor,30,3773,linkedin,2025-08-31 00:52:04.496306
Site Reliability Engineer,Media & Communications,51-200,111779,25,Certificate,8,3045,linkedin,2025-07-19 00:52:04.496310
CTO,Energy,11-50,85091,10,No Degree,35,4068,linkedin,2025-08-12 00:52:04.496314
VP of Engineering,Education,11-50,59064,2,No Degree,18,2830,linkedin,2025-07-23 00:52:04.496318
Platform Engineer,Healthcare,501-1000,83088,20,Bachelor,44,874,linkedin,2025-06-23 00:52:04.496322
Software Developer,Technology,1001-5000,217552,23,Certificate,20,2287,linkedin,2025-06-27 00:52:04.496326
Technical Lead,Education,1001-5000,113425,25,Bachelor,37,217,linkedin,2025-08-15 00:52:04.496330
Software Developer,Healthcare,1001-5000,111849,5,Master,17,226,linkedin,2025-08-08 00:52:04.496333
CTO,Non-profit,51-200,78463,15,Master,18,3644,linkedin,2025-07-08 00:52:04.496337
Lead Software Developer,Real Estate,501-1000,111998,16,Certificate,27,3780,linkedin,2025-08-02 00:52:04.496341
Engineering Director,Energy,51-200,88181,5,PhD,37,3488,linkedin,2025-07-08 00:52:04.496345
VP of Engineering,Retail,501-1000,126403,12,Bachelor,32,3249,linkedin,2025-08-14 00:52:04.496349
CTO,Government,501-1000,74293,6,Certificate,24,4279,linkedin,2025-07-19 00:52:04.496353
Software Architect,Financial Services,1-10,97256,2,Bachelor,16,2913,linkedin,2025-08-03 00:52:04.496357
VP of Engineering,Media & Communications,1001-5000,127250,9,PhD,20,2055,linkedin,2025-08-12 00:52:04.496361
ML Engineer,Education,501-1000,79812,12,Master,42,2275,linkedin,2025-06-28 00:52:04.496365
Data Engineer,Real Estate,51-200,110890,10,Certificate,5,2448,linkedin,2025-09-02 00:52:04.496369
Site Reliability Engineer,Energy,51-200,139390,12,Bachelor,26,3259,linkedin,2025-08-21 00:52:04.496373
CTO,Consulting,1-10,74002,14,No Degree,26,967,linkedin,2025-09-09 00:52:04.496377
Senior Software Developer,Government,501-1000,53235,13,Bachelor,17,4481,linkedin,2025-06-27 00:52:04.496381
Engineering Director,Education,1001-5000,49357,20,PhD,25,4719,linkedin,2025-08-13 00:52:04.496384
Lead Software Developer,Healthcare,501-1000,120682,17,Bachelor,47,1664,linkedin,2025-08-17 00:52:04.496388
Lead Software Developer,Real Estate,51-200,79249,3,No Degree,47,3870,linkedin,2025-07-20 00:52:04.496392
Senior Software Developer,Energy,1-10,79949,17,Bachelor,11,3191,linkedin,2025-07-23 00:52:04.496396
CTO,Energy,51-200,98149,7,Certificate,8,2262,linkedin,2025-07-10 00:52:04.496400
Software Developer,Non-profit,5000+,55785,19,No Degree,26,1371,linkedin,2025-07-23 00:52:04.496404
Technical Lead,Financial Services,11-50,65389,22,Certificate,41,2322,linkedin,2025-07-19 00:52:04.496408
ML Engineer,Media & Communications,11-50,91825,21,PhD,35,3298,linkedin,2025-06-20 00:52:04.496412
Data Engineer,Government,501-1000,94287,7,No Degree,31,767,linkedin,2025-07-29 00:52:04.496416
Site Reliability Engineer,Real Estate,1-10,67909,23,No Degree,47,4036,linkedin,2025-07-21 00:52:04.496420
Technical Lead,Manufacturing,1001-5000,72335,11,No Degree,48,556,linkedin,2025-07-10 00:52:04.496424
Software Architect,Media & Communications,1-10,84956,20,Certificate,45,2705,linkedin,2025-08-28 00:52:04.496428
Senior Software Developer,Energy,1001-5000,162769,15,No Degree,7,326,linkedin,2025-08-07 00:52:04.496432
Platform Engineer,Consulting,1-10,97537,5,Certificate,6,3135,linkedin,2025-08-08 00:52:04.496435
CTO,Energy,51-200,74872,2,Master,45,4454,linkedin,2025-08-10 00:52:04.496439
ML Engineer,Retail,51-200,96058,18,Certificate,32,4795,linkedin,2025-08-07 00:52:04.496443
ML Engineer,Retail,5000+,87576,4,Master,31,4325,linkedin,2025-09-06 00:52:04.496447
Software Developer,Consulting,201-500,158567,17,Master,33,1817,linkedin,2025-09-04 00:52:04.496451
Site Reliability Engineer,Government,1001-5000,100821,8,PhD,42,2615,linkedin,2025-09-04 00:52:04.496455
Site Reliability Engineer,Healthcare,11-50,52476,25,PhD,25,4875,linkedin,2025-08-26 00:52:04.496459
Lead Software Developer,Consulting,5000+,147603,12,No Degree,8,1583,linkedin,2025-08-12 00:52:04.496463
Engineering Director,Retail,5000+,148404,16,Bachelor,11,3239,linkedin,2025-08-26 00:52:04.496467
CTO,Energy,51-200,87090,25,Master,26,941,linkedin,2025-08-12 00:52:04.496471
Lead Software Developer,Non-profit,501-1000,74295,14,Master,13,4161,linkedin,2025-06-20 00:52:04.496475
Lead Software Developer,Technology,11-50,77126,4,Certificate,21,372,linkedin,2025-09-01 00:52:04.496479
Site Reliability Engineer,Government,1-10,69411,2,Certificate,5,4069,linkedin,2025-07-30 00:52:04.496482
Technical Lead,Consulting,51-200,95518,7,Master,22,3500,linkedin,2025-09-17 00:52:04.496486
Platform Engineer,Healthcare,1001-5000,62611,13,Master,20,3103,linkedin,2025-07-29 00:52:04.496490
Senior Software Developer,Media & Communications,1001-5000,112037,13,Master,42,4583,linkedin,2025-06-25 00:52:04.496494
Software Developer,Education,5000+,132498,6,PhD,14,875,linkedin,2025-08-02 00:52:04.496498
Site Reliability Engineer,Energy,1-10,68648,9,Master,27,880,linkedin,2025-07-19 00:52:04.496502
Platform Engineer,Healthcare,11-50,134914,22,Certificate,37,3097,linkedin,2025-09-12 00:52:04.496506
Site Reliability Engineer,Media & Communications,1001-5000,136744,22,PhD,39,3079,linkedin,2025-08-27 00:52:04.496510
Software Developer,Manufacturing,1001-5000,133959,25,Master,20,2834,linkedin,2025-08-12 00:52:04.496514
CTO,Real Estate,11-50,82755,6,PhD,7,2717,linkedin,2025-08-02 00:52:04.496518
Software Developer,Consulting,5000+,156875,13,Bachelor,12,1948,linkedin,2025-07-01 00:52:04.496522
Software Developer,Technology,51-200,115366,12,No Degree,43,1207,linkedin,2025-07-19 00:52:04.496526
Platform Engineer,Retail,11-50,79038,7,PhD,8,4249,linkedin,2025-07-17 00:52:04.496530
Engineering Director,Technology,201-500,153879,18,Master,19,2839,linkedin,2025-08-02 00:52:04.496534
VP of Engineering,Retail,11-50,65496,17,PhD,42,4645,linkedin,2025-09-09 00:52:04.496538
Lead Software Developer,Government,501-1000,66669,9,Master,44,4718,linkedin,2025-07-23 00:52:04.496542
Data Engineer,Media & Communications,5000+,95653,13,No Degree,40,446,linkedin,2025-09-12 00:52:04.496545
Site Reliability Engineer,Retail,51-200,143584,16,Master,17,4397,linkedin,2025-09-17 00:52:04.496550
ML Engineer,Education,1001-5000,111899,5,Certificate,45,3281,linkedin,2025-09-17 00:52:04.496554
Platform Engineer,Non-profit,51-200,71562,1,PhD,21,3835,linkedin,2025-08-01 00:52:04.496557
Senior Software Developer,Technology,201-500,99934,11,Bachelor,26,3478,linkedin,2025-06-23 00:52:04.496561
Engineering Director,Manufacturing,5000+,153726,11,No Degree,43,418,linkedin,2025-06-27 00:52:04.496565
Engineering Director,Manufacturing,501-1000,110677,13,No Degree,36,1190,linkedin,2025-08-28 00:52:04.496569
Lead Software Developer,Consulting,51-200,120103,6,Bachelor,21,2067,linkedin,2025-09-15 00:52:04.496573
VP of Engineering,Technology,11-50,84012,23,Bachelor,41,960,linkedin,2025-09-13 00:52:04.496577
ML Engineer,Manufacturing,201-500,108687,4,Master,29,2083,linkedin,2025-08-05 00:52:04.496581
Senior Software Developer,Non-profit,5000+,83235,22,Bachelor,24,1304,linkedin,2025-09-11 00:52:04.496585
Data Engineer,Healthcare,201-500,92948,4,Master,14,1871,linkedin,2025-08-28 00:52:04.496589
VP of Engineering,Government,1001-5000,116932,25,Bachelor,22,116,linkedin,2025-09-01 00:52:04.496593
Technical Lead,Real Estate,51-200,58479,10,Master,14,2240,linkedin,2025-07-03 00:52:04.496597
Lead Software Developer,Healthcare,51-200,119254,8,Bachelor,14,1995,linkedin,2025-06-21 00:52:04.496601
Site Reliability Engineer,Healthcare,1-10,97905,1,Bachelor,11,1662,linkedin,2025-09-01 00:52:04.496605
Data Engineer,Education,501-1000,71144,6,No Degree,47,1419,linkedin,2025-08-15 00:52:04.496608
Software Architect,Real Estate,51-200,75517,2,No Degree,36,4746,linkedin,2025-09-05 00:52:04.496612
Software Architect,Energy,51-200,89703,8,Master,43,2743,linkedin,2025-07-31 00:52:04.496617
Platform Engineer,Financial Services,201-500,156615,14,Master,42,2399,linkedin,2025-06-20 00:52:04.496621
Technical Lead,Government,201-500,80405,24,Certificate,29,2441,linkedin,2025-09-10 00:52:04.496624
ML Engineer,Government,5000+,117932,15,Certificate,42,3072,linkedin,2025-08-21 00:52:04.496629
Senior Software Developer,Manufacturing,51-200,136870,1,No Degree,17,102,linkedin,2025-06-27 00:52:04.496632
Software Developer,Education,501-1000,79624,2,Certificate,20,2045,linkedin,2025-07-31 00:52:04.496636
Lead Software Developer,Technology,201-500,77598,7,Bachelor,26,3565,linkedin,2025-07-19 00:52:04.496640
Lead Software Developer,Energy,201-500,126077,3,Certificate,17,3617,linkedin,2025-08-25 00:52:04.496644
Lead Software Developer,Non-profit,51-200,94485,11,No Degree,47,4566,linkedin,2025-07-06 00:52:04.496648
Site Reliability Engineer,Education,201-500,91808,15,Master,39,1593,linkedin,2025-06-21 00:52:04.496652
Software Architect,Media & Communications,501-1000,82999,5,Bachelor,22,3640,linkedin,2025-08-27 00:52:04.496656
Lead Software Developer,Non-profit,11-50,57996,6,Master,38,1927,linkedin,2025-08-23 00:52:04.496660
Site Reliability Engineer,Government,5000+,76647,3,Master,37,2765,linkedin,2025-08-26 00:52:04.496664
Lead Software Developer,Energy,11-50,99241,11,No Degree,6,3252,linkedin,2025-08-30 00:52:04.496668
Platform Engineer,Education,1-10,40260,25,No Degree,50,2486,linkedin,2025-09-12 00:52:04.496671
Platform Engineer,Energy,1-10,70297,9,PhD,9,1507,linkedin,2025-08-09 00:52:04.496675
Lead Software Developer,Retail,11-50,64032,19,Master,21,3128,linkedin,2025-07-30 00:52:04.496679
Platform Engineer,Education,1-10,62727,17,No Degree,19,4812,linkedin,2025-08-19 00:52:04.496683
Platform Engineer,Energy,51-200,86299,2,PhD,31,1380,linkedin,2025-06-21 00:52:04.496687
Site Reliability Engineer,Non-profit,11-50,62494,7,Certificate,22,1025,linkedin,2025-08-03 00:52:04.496691
Engineering Director,Consulting,501-1000,137564,24,Master,18,4378,linkedin,2025-07-22 00:52:04.496695
Platform Engineer,Government,501-1000,68704,12,No Degree,10,277,linkedin,2025-08-05 00:52:04.496699
Software Developer,Consulting,501-1000,158239,21,PhD,26,4698,linkedin,2025-07-18 00:52:04.496703
ML Engineer,Retail,51-200,93841,2,No Degree,49,1616,linkedin,2025-08-04 00:52:04.496707
Lead Software Developer,Education,11-50,51496,6,Master,5,146,linkedin,2025-07-18 00:52:04.496711
Data Engineer,Technology,201-500,211957,3,No Degree,32,2586,linkedin,2025-07-15 00:52:04.496715
VP of Engineering,Media & Communications,1001-5000,138209,15,PhD,34,2967,linkedin,2025-08-27 00:52:04.496719
ML Engineer,Energy,1-10,73088,9,No Degree,20,3104,linkedin,2025-06-27 00:52:04.496723
Engineering Director,Manufacturing,1-10,102888,18,Certificate,41,1217,linkedin,2025-06-24 00:52:04.496727
CTO,Healthcare,5000+,213664,22,Bachelor,16,2827,linkedin,2025-09-01 00:52:04.496731
Platform Engineer,Real Estate,51-200,91547,21,PhD,45,946,linkedin,2025-09-03 00:52:04.496735
Platform Engineer,Energy,1-10,82600,25,PhD,27,3462,linkedin,2025-08-26 00:52:04.496738
Technical Lead,Real Estate,1-10,57227,5,Certificate,47,3443,linkedin,2025-07-22 00:52:04.496742
Platform Engineer,Manufacturing,501-1000,109805,1,No Degree,21,504,linkedin,2025-08-08 00:52:04.496746
VP of Engineering,Non-profit,51-200,63190,16,Bachelor,20,1741,linkedin,2025-07-25 00:52:04.496750
Lead Software Developer,Media & Communications,5000+,139145,10,PhD,17,1376,linkedin,2025-09-14 00:52:04.496754
Engineering Director,Manufacturing,51-200,102903,24,Master,13,3442,linkedin,2025-06-28 00:52:04.496758
