company,job_title,location,salary,experience_years,company_rating,data_source,date_posted
Tesla,Backend Engineer,"Austin, TX",116014,10,3.2,glassdoor,2025-02-17 00:52:04.460440
Microsoft,Principal Software Engineer,"Denver, CO",265429,14,4.3,glassdoor,2025-01-02 00:52:04.460444
Meta,Full Stack Engineer,"San Francisco, CA",318092,16,4.5,glassdoor,2024-12-08 00:52:04.460447
GitHub,Full Stack Engineer,Remote - US,103903,5,4.4,glassdoor,2025-06-21 00:52:04.460451
AMD,Engineering Manager,"Seattle, WA",302881,12,4.3,glassdoor,2024-11-11 00:52:04.460454
Snowflake,Mobile Engineer,"Chicago, IL",123287,13,5.0,glassdoor,2024-09-28 00:52:04.460458
Cisco,Senior Product Manager,"Boston, MA",95850,12,4.9,glassdoor,2025-04-20 00:52:04.460461
Atlassian,Engineering Manager,"New York, NY",269679,13,4.2,glassdoor,2024-12-29 00:52:04.460464
Stripe,ML Engineer,"Toronto, Canada",180610,17,4.3,glassdoor,2025-06-07 00:52:04.460468
Tesla,Senior Data Scientist,"Berlin, Germany",106252,11,4.8,glassdoor,2025-07-12 00:52:04.460473
NVIDIA,Senior Engineering Manager,Remote - US,81491,17,4.4,glassdoor,2025-04-05 00:52:04.460476
NVIDIA,Principal Software Engineer,"Los Angeles, CA",169205,17,4.0,glassdoor,2024-11-29 00:52:04.460480
Intel,Frontend Engineer,"Berlin, Germany",71857,17,3.6,glassdoor,2025-02-13 00:52:04.460484
VMware,Software Engineer,Remote - US,97526,3,3.1,glassdoor,2025-07-05 00:52:04.460487
Microsoft,Senior Software Engineer,"Austin, TX",191215,8,4.5,glassdoor,2025-06-27 00:52:04.460491
Stripe,Data Scientist,"New York, NY",237470,1,4.4,glassdoor,2025-04-19 00:52:04.460494
Tesla,Senior Software Engineer,"Los Angeles, CA",115436,14,3.2,glassdoor,2024-10-07 00:52:04.460498
AMD,Senior Product Manager,"Toronto, Canada",116212,20,4.1,glassdoor,2025-05-19 00:52:04.460501
Spotify,Senior Data Scientist,"Toronto, Canada",121188,1,4.9,glassdoor,2025-03-03 00:52:04.460505
GitHub,ML Engineer,Remote - US,132100,1,3.0,glassdoor,2025-05-12 00:52:04.460509
Tesla,Backend Engineer,"Austin, TX",164181,20,4.4,glassdoor,2024-10-21 00:52:04.460512
Databricks,Product Manager,"Toronto, Canada",126012,6,3.6,glassdoor,2025-06-19 00:52:04.460516
Intel,Staff Software Engineer,"New York, NY",247628,5,4.5,glassdoor,2025-07-18 00:52:04.460519
OpenAI,Senior Software Engineer,"Chicago, IL",124231,8,4.1,glassdoor,2025-07-13 00:52:04.460523
Netflix,Data Scientist,"San Francisco, CA",175800,10,3.9,glassdoor,2025-06-30 00:52:04.460526
Microsoft,Engineering Manager,"Los Angeles, CA",250685,19,3.1,glassdoor,2024-11-01 00:52:04.460530
Oracle,Senior Data Scientist,"Denver, CO",112486,18,4.1,glassdoor,2025-08-11 00:52:04.460533
VMware,ML Engineer,Remote - US,125252,7,4.9,glassdoor,2024-12-25 00:52:04.460536
Apple,Mobile Engineer,"New York, NY",157627,13,4.1,glassdoor,2025-02-23 00:52:04.460540
Apple,DevOps Engineer,"Austin, TX",118508,6,4.3,glassdoor,2025-04-01 00:52:04.460543
Databricks,Senior Data Scientist,"Austin, TX",130748,19,4.1,glassdoor,2024-12-04 00:52:04.460547
Cisco,Software Engineer,"Seattle, WA",116074,11,3.9,glassdoor,2024-10-24 00:52:04.460552
Oracle,Senior Product Manager,"San Francisco, CA",184080,10,3.8,glassdoor,2025-07-21 00:52:04.460556
OpenAI,Data Scientist,Remote - US,129428,9,3.0,glassdoor,2024-12-27 00:52:04.460559
Cisco,DevOps Engineer,Remote - US,119507,16,3.9,glassdoor,2025-08-26 00:52:04.460562
Stripe,Product Manager,"Los Angeles, CA",179573,16,3.2,glassdoor,2025-07-30 00:52:04.460566
Netflix,Software Engineer,"Berlin, Germany",84746,2,3.4,glassdoor,2024-10-30 00:52:04.460570
Cisco,Product Manager,"Berlin, Germany",77053,13,4.7,glassdoor,2025-06-04 00:52:04.460573
Adobe,Frontend Engineer,"Berlin, Germany",68610,2,4.5,glassdoor,2025-07-01 00:52:04.460577
Google,Backend Engineer,"Toronto, Canada",138060,10,3.1,glassdoor,2025-08-11 00:52:04.460581
Microsoft,Senior Engineering Manager,"Boston, MA",136784,17,3.1,glassdoor,2025-05-24 00:52:04.460584
Airbnb,Frontend Engineer,"Chicago, IL",146637,14,4.3,glassdoor,2025-02-08 00:52:04.460587
Snowflake,Software Engineer,"Chicago, IL",81382,3,4.1,glassdoor,2024-10-24 00:52:04.460591
AMD,Staff Software Engineer,"Toronto, Canada",202686,18,3.1,glassdoor,2025-08-11 00:52:04.460594
Databricks,Mobile Engineer,"Seattle, WA",115279,9,4.6,glassdoor,2025-04-16 00:52:04.460598
Oracle,Staff Software Engineer,"Boston, MA",155945,14,3.8,glassdoor,2024-10-14 00:52:04.460601
Google,Full Stack Engineer,"New York, NY",193063,17,3.4,glassdoor,2025-03-01 00:52:04.460605
VMware,Senior Data Scientist,"Berlin, Germany",97478,4,3.6,glassdoor,2024-10-21 00:52:04.460608
Databricks,Software Engineer,Remote - US,102891,17,3.3,glassdoor,2025-08-27 00:52:04.460612
Google,Security Engineer,Remote - US,200643,17,4.9,glassdoor,2025-04-14 00:52:04.460615
Tesla,DevOps Engineer,"Austin, TX",94889,13,4.8,glassdoor,2024-12-29 00:52:04.460619
Meta,Senior Engineering Manager,"New York, NY",230949,7,4.2,glassdoor,2025-05-11 00:52:04.460622
Tesla,Principal Software Engineer,"New York, NY",408151,18,4.7,glassdoor,2024-12-10 00:52:04.460626
Atlassian,Staff Software Engineer,"Boston, MA",164666,2,3.5,glassdoor,2025-06-08 00:52:04.460629
AMD,Full Stack Engineer,"Los Angeles, CA",131014,11,3.3,glassdoor,2024-10-17 00:52:04.460633
Uber,Principal Software Engineer,"Boston, MA",213018,19,3.1,glassdoor,2025-06-10 00:52:04.460636
Snowflake,Full Stack Engineer,"Denver, CO",138441,10,4.2,glassdoor,2025-04-14 00:52:04.460640
NVIDIA,Engineering Manager,"London, UK",224660,18,3.7,glassdoor,2025-04-09 00:52:04.460643
GitHub,Senior Engineering Manager,"San Francisco, CA",150244,10,3.5,glassdoor,2025-05-27 00:52:04.460647
NVIDIA,Frontend Engineer,"Boston, MA",98377,11,3.3,glassdoor,2025-04-01 00:52:04.460650
Shopify,Backend Engineer,"Denver, CO",139393,11,4.5,glassdoor,2025-01-11 00:52:04.460654
Adobe,Principal Software Engineer,"New York, NY",364771,20,4.2,glassdoor,2025-04-27 00:52:04.460657
Meta,Product Manager,"Boston, MA",140224,20,3.2,glassdoor,2025-08-10 00:52:04.460661
Google,Mobile Engineer,"Berlin, Germany",96945,0,4.6,glassdoor,2024-11-25 00:52:04.460664
OpenAI,Product Manager,"San Francisco, CA",152870,17,3.5,glassdoor,2024-12-15 00:52:04.460668
Shopify,Engineering Manager,"Los Angeles, CA",125019,12,3.4,glassdoor,2024-11-20 00:52:04.460672
AMD,Senior Data Scientist,"New York, NY",123419,14,4.0,glassdoor,2025-08-02 00:52:04.460675
OpenAI,DevOps Engineer,Remote - US,94941,0,4.3,glassdoor,2024-11-07 00:52:04.460679
Intel,Senior Engineering Manager,Remote - US,100557,4,3.9,glassdoor,2025-06-18 00:52:04.460682
Salesforce,Engineering Manager,"Toronto, Canada",169813,15,4.9,glassdoor,2025-08-28 00:52:04.460686
Uber,Full Stack Engineer,"Austin, TX",135670,2,3.5,glassdoor,2025-05-21 00:52:04.460689
Microsoft,Product Manager,Remote - US,210113,11,3.8,glassdoor,2025-01-28 00:52:04.460693
Microsoft,Senior Software Engineer,"Berlin, Germany",95295,10,3.2,glassdoor,2024-12-25 00:52:04.460696
IBM,Data Scientist,"Toronto, Canada",140033,8,4.2,glassdoor,2024-11-30 00:52:04.460700
Netflix,Security Engineer,"Berlin, Germany",108546,12,3.7,glassdoor,2024-10-18 00:52:04.460703
Apple,Mobile Engineer,"Boston, MA",149704,12,4.9,glassdoor,2025-05-26 00:52:04.460707
Spotify,Security Engineer,"Los Angeles, CA",122576,11,4.0,glassdoor,2025-01-14 00:52:04.460715
Oracle,Software Engineer,Remote - US,76770,4,3.9,glassdoor,2025-05-23 00:52:04.460719
Apple,Mobile Engineer,"Berlin, Germany",113934,8,3.4,glassdoor,2025-06-14 00:52:04.460722
Netflix,DevOps Engineer,"London, UK",150653,3,4.3,glassdoor,2025-02-17 00:52:04.460726
VMware,ML Engineer,"Toronto, Canada",118636,3,4.0,glassdoor,2025-01-15 00:52:04.460729
Shopify,Product Manager,"London, UK",102821,5,4.3,glassdoor,2025-02-19 00:52:04.460733
Google,Senior Product Manager,"San Francisco, CA",338172,4,4.1,glassdoor,2025-06-27 00:52:04.460736
Meta,Mobile Engineer,"San Francisco, CA",204938,18,3.3,glassdoor,2025-06-24 00:52:04.460740
Airbnb,Senior Engineering Manager,Remote - US,138038,12,4.2,glassdoor,2024-12-03 00:52:04.460744
IBM,Software Engineer,"Toronto, Canada",78783,9,4.9,glassdoor,2025-05-30 00:52:04.460748
Atlassian,Full Stack Engineer,"Denver, CO",96001,5,3.4,glassdoor,2025-02-19 00:52:04.460751
Oracle,Engineering Manager,"London, UK",134281,5,4.2,glassdoor,2024-12-30 00:52:04.460755
Airbnb,Senior Engineering Manager,"Toronto, Canada",173787,10,4.8,glassdoor,2024-11-16 00:52:04.460758
Salesforce,Staff Software Engineer,"Austin, TX",208024,12,3.8,glassdoor,2025-07-24 00:52:04.460763
Google,Product Manager,Remote - US,147334,16,4.4,glassdoor,2025-07-03 00:52:04.460767
Oracle,Principal Software Engineer,"New York, NY",231054,15,4.8,glassdoor,2024-11-14 00:52:04.460770
Microsoft,Mobile Engineer,"Seattle, WA",207410,2,4.0,glassdoor,2025-07-13 00:52:04.460774
Oracle,Software Engineer,"Berlin, Germany",56041,20,3.9,glassdoor,2025-02-14 00:52:04.460777
Databricks,Senior Software Engineer,"Toronto, Canada",141949,16,3.9,glassdoor,2025-01-14 00:52:04.460781
VMware,Security Engineer,"Los Angeles, CA",112383,18,4.6,glassdoor,2024-09-26 00:52:04.460784
Salesforce,Principal Software Engineer,"Chicago, IL",137976,4,3.5,glassdoor,2025-05-21 00:52:04.460788
Apple,Senior Data Scientist,"London, UK",178196,17,3.8,glassdoor,2025-06-13 00:52:04.460792
Google,Software Engineer,"London, UK",154130,16,3.2,glassdoor,2025-09-14 00:52:04.460795
OpenAI,Product Manager,"Toronto, Canada",94763,10,3.8,glassdoor,2025-07-25 00:52:04.460799
Meta,Frontend Engineer,"Berlin, Germany",101120,18,3.5,glassdoor,2024-12-17 00:52:04.460802
GitHub,DevOps Engineer,"London, UK",102757,8,5.0,glassdoor,2025-02-26 00:52:04.460805
Cisco,Product Manager,"Chicago, IL",115224,17,4.6,glassdoor,2025-01-13 00:52:04.460809
Netflix,DevOps Engineer,Remote - US,201670,17,4.0,glassdoor,2025-04-13 00:52:04.460812
Salesforce,DevOps Engineer,"Toronto, Canada",151420,12,4.5,glassdoor,2024-10-15 00:52:04.460816
Amazon,Senior Product Manager,"Denver, CO",135431,5,3.2,glassdoor,2024-12-31 00:52:04.460820
OpenAI,ML Engineer,Remote - US,99832,19,4.4,glassdoor,2024-09-21 00:52:04.460823
Microsoft,Senior Engineering Manager,"Chicago, IL",105579,20,3.0,glassdoor,2025-08-02 00:52:04.460827
Meta,Full Stack Engineer,"London, UK",120336,13,3.2,glassdoor,2025-05-06 00:52:04.460830
Uber,DevOps Engineer,"Seattle, WA",167363,19,3.1,glassdoor,2025-03-05 00:52:04.460834
OpenAI,Mobile Engineer,"Boston, MA",146762,19,3.1,glassdoor,2025-06-20 00:52:04.460837
IBM,Full Stack Engineer,"Denver, CO",96819,0,3.4,glassdoor,2024-10-16 00:52:04.460841
VMware,Mobile Engineer,"Boston, MA",112833,6,3.1,glassdoor,2024-11-15 00:52:04.460844
Spotify,Mobile Engineer,"Toronto, Canada",107645,7,4.2,glassdoor,2024-10-07 00:52:04.460848
Microsoft,DevOps Engineer,"Austin, TX",180453,20,3.0,glassdoor,2025-06-29 00:52:04.460851
Apple,Data Scientist,"Chicago, IL",246582,11,4.3,glassdoor,2025-02-22 00:52:04.460855
Salesforce,Product Manager,Remote - US,106186,0,4.5,glassdoor,2025-08-13 00:52:04.460858
Apple,Senior Data Scientist,"Toronto, Canada",136399,17,4.8,glassdoor,2025-03-23 00:52:04.460862
Databricks,Data Scientist,"Austin, TX",141433,19,4.9,glassdoor,2025-01-28 00:52:04.460865
OpenAI,Software Engineer,"Boston, MA",102274,5,3.8,glassdoor,2025-07-25 00:52:04.460869
Adobe,Staff Software Engineer,Remote - US,244016,9,3.7,glassdoor,2025-07-20 00:52:04.460872
VMware,Mobile Engineer,"Boston, MA",120612,17,4.6,glassdoor,2024-11-27 00:52:04.460875
Airbnb,Backend Engineer,"Chicago, IL",130311,18,4.0,glassdoor,2025-05-16 00:52:04.460879
Cisco,ML Engineer,"Denver, CO",120758,14,4.8,glassdoor,2025-09-03 00:52:04.460882
Shopify,Principal Software Engineer,"Boston, MA",241904,2,3.8,glassdoor,2025-05-28 00:52:04.460886
Intel,Senior Product Manager,"Los Angeles, CA",125722,13,4.9,glassdoor,2024-12-27 00:52:04.460889
Adobe,Software Engineer,"Toronto, Canada",99130,8,3.5,glassdoor,2025-08-01 00:52:04.460893
OpenAI,ML Engineer,"Seattle, WA",170352,17,4.9,glassdoor,2025-01-17 00:52:04.460896
Snowflake,DevOps Engineer,"Austin, TX",133256,18,3.5,glassdoor,2024-10-03 00:52:04.460900
Tesla,Full Stack Engineer,"Toronto, Canada",172318,6,3.5,glassdoor,2025-05-17 00:52:04.460903
Airbnb,Product Manager,"Austin, TX",158615,6,4.7,glassdoor,2024-11-05 00:52:04.460907
Databricks,Engineering Manager,"Seattle, WA",214869,3,4.8,glassdoor,2024-10-06 00:52:04.460910
Intel,Full Stack Engineer,"London, UK",100052,0,4.5,glassdoor,2024-12-14 00:52:04.460914
Microsoft,Full Stack Engineer,"Los Angeles, CA",180981,19,3.6,glassdoor,2024-11-27 00:52:04.460917
Airbnb,Full Stack Engineer,"New York, NY",164444,16,3.6,glassdoor,2025-05-27 00:52:04.460921
Cisco,Engineering Manager,"San Francisco, CA",275412,16,4.6,glassdoor,2025-01-16 00:52:04.460924
Adobe,Senior Software Engineer,Remote - US,127696,11,3.8,glassdoor,2024-10-01 00:52:04.460928
Cisco,Senior Engineering Manager,"Denver, CO",108620,3,4.4,glassdoor,2025-01-25 00:52:04.460932
Snowflake,Software Engineer,"San Francisco, CA",169518,6,3.8,glassdoor,2025-07-28 00:52:04.460936
Snowflake,DevOps Engineer,"London, UK",100914,8,3.4,glassdoor,2025-05-06 00:52:04.460939
Uber,Data Scientist,"Denver, CO",141703,19,3.7,glassdoor,2025-06-15 00:52:04.460943
Shopify,Frontend Engineer,"Austin, TX",78627,13,4.4,glassdoor,2025-03-11 00:52:04.460946
Databricks,Security Engineer,"Boston, MA",124119,14,3.4,glassdoor,2025-07-12 00:52:04.460950
Salesforce,Senior Product Manager,"Seattle, WA",158525,8,4.6,glassdoor,2024-12-07 00:52:04.460953
GitHub,Security Engineer,"Austin, TX",154726,4,4.6,glassdoor,2025-07-03 00:52:04.460957
Shopify,Software Engineer,"New York, NY",118243,13,4.0,glassdoor,2024-10-30 00:52:04.460960
Spotify,ML Engineer,"Denver, CO",112733,9,3.5,glassdoor,2024-12-01 00:52:04.460964
Microsoft,Security Engineer,"Seattle, WA",198993,5,3.1,glassdoor,2025-05-10 00:52:04.460967
Shopify,Principal Software Engineer,"Denver, CO",260467,10,3.5,glassdoor,2025-03-17 00:52:04.460971
Adobe,Data Scientist,"Los Angeles, CA",114770,0,3.8,glassdoor,2025-03-22 00:52:04.460974
Intel,Product Manager,"London, UK",102624,18,4.3,glassdoor,2024-12-16 00:52:04.460978
Netflix,Senior Data Scientist,"Los Angeles, CA",181695,10,4.3,glassdoor,2025-01-11 00:52:04.460981
Cisco,Backend Engineer,"Seattle, WA",145639,12,4.2,glassdoor,2025-01-23 00:52:04.460985
IBM,Engineering Manager,"New York, NY",218024,20,4.6,glassdoor,2025-03-29 00:52:04.460988
GitHub,Security Engineer,"Seattle, WA",145850,2,3.3,glassdoor,2025-05-24 00:52:04.460992
Snowflake,ML Engineer,"Berlin, Germany",91833,9,4.4,glassdoor,2024-11-12 00:52:04.460995
IBM,Security Engineer,"Boston, MA",85827,14,4.6,glassdoor,2025-03-16 00:52:04.460999
AMD,Mobile Engineer,"Denver, CO",110872,13,3.3,glassdoor,2025-09-06 00:52:04.461002
Meta,Senior Product Manager,"Berlin, Germany",94270,8,4.9,glassdoor,2024-09-24 00:52:04.461006
AMD,Staff Software Engineer,"Austin, TX",200719,5,3.8,glassdoor,2025-07-31 00:52:04.461009
Apple,Full Stack Engineer,Remote - US,115652,1,3.1,glassdoor,2025-02-26 00:52:04.461013
Spotify,Staff Software Engineer,"Seattle, WA",187058,8,4.2,glassdoor,2025-08-05 00:52:04.461016
IBM,Security Engineer,"Boston, MA",116147,7,3.5,glassdoor,2025-04-25 00:52:04.461020
Atlassian,Engineering Manager,"New York, NY",314357,16,4.7,glassdoor,2025-09-03 00:52:04.461023
Microsoft,DevOps Engineer,"Los Angeles, CA",143882,15,3.9,glassdoor,2024-12-15 00:52:04.461027
Airbnb,Backend Engineer,"New York, NY",174733,17,3.4,glassdoor,2024-11-16 00:52:04.461030
Atlassian,Frontend Engineer,Remote - US,163496,20,4.3,glassdoor,2025-04-12 00:52:04.461034
Databricks,Full Stack Engineer,Remote - US,84395,7,4.6,glassdoor,2025-02-03 00:52:04.461037
Stripe,DevOps Engineer,"Chicago, IL",84708,8,3.3,glassdoor,2025-09-12 00:52:04.461041
Google,Mobile Engineer,"New York, NY",230308,11,3.6,glassdoor,2024-12-18 00:52:04.461044
Google,Full Stack Engineer,"Denver, CO",136017,9,3.0,glassdoor,2025-02-09 00:52:04.461048
VMware,Senior Data Scientist,"London, UK",77347,7,4.6,glassdoor,2024-12-11 00:52:04.461051
Databricks,Product Manager,"Chicago, IL",123300,17,3.9,glassdoor,2025-05-13 00:52:04.461055
Netflix,Security Engineer,"Chicago, IL",169899,7,3.5,glassdoor,2025-02-13 00:52:04.461059
IBM,Senior Product Manager,Remote - US,105397,19,4.6,glassdoor,2024-10-02 00:52:04.461062
Airbnb,Senior Data Scientist,"Berlin, Germany",73114,17,4.6,glassdoor,2025-02-18 00:52:04.461066
Tesla,Staff Software Engineer,"New York, NY",332968,4,3.6,glassdoor,2024-10-26 00:52:04.461069
Atlassian,Backend Engineer,"Boston, MA",122044,19,4.0,glassdoor,2025-04-06 00:52:04.461073
Google,Engineering Manager,"San Francisco, CA",351977,17,3.0,glassdoor,2025-07-27 00:52:04.461076
Stripe,Data Scientist,"New York, NY",314014,14,4.5,glassdoor,2025-05-21 00:52:04.461079
Apple,Engineering Manager,"San Francisco, CA",282246,15,3.4,glassdoor,2025-02-14 00:52:04.461083
Stripe,Full Stack Engineer,"Los Angeles, CA",105068,14,4.4,glassdoor,2025-09-01 00:52:04.461086
Snowflake,Staff Software Engineer,"New York, NY",195415,1,3.5,glassdoor,2025-03-01 00:52:04.461090
Apple,Full Stack Engineer,"New York, NY",209750,6,4.8,glassdoor,2025-05-12 00:52:04.461093
OpenAI,Software Engineer,"Seattle, WA",122694,7,3.8,glassdoor,2025-02-03 00:52:04.461097
Uber,Senior Software Engineer,"Austin, TX",143905,14,4.5,glassdoor,2025-07-31 00:52:04.461100
Spotify,Product Manager,"Denver, CO",115604,12,4.4,glassdoor,2025-04-11 00:52:04.461104
Snowflake,Senior Engineering Manager,"Berlin, Germany",56676,1,4.5,glassdoor,2024-12-10 00:52:04.461107
Spotify,Principal Software Engineer,"Boston, MA",255173,15,4.3,glassdoor,2025-06-08 00:52:04.461111
Databricks,Senior Software Engineer,"Berlin, Germany",86750,6,4.9,glassdoor,2025-05-20 00:52:04.461114
IBM,Frontend Engineer,"Los Angeles, CA",132133,0,3.3,glassdoor,2025-04-29 00:52:04.461119
Salesforce,Principal Software Engineer,"Chicago, IL",211571,7,3.0,glassdoor,2025-08-27 00:52:04.461122
Salesforce,Full Stack Engineer,"Toronto, Canada",117865,19,3.3,glassdoor,2025-08-03 00:52:04.461126
Uber,Senior Engineering Manager,"Denver, CO",144368,2,4.4,glassdoor,2025-03-28 00:52:04.461129
Cisco,Senior Software Engineer,"San Francisco, CA",205923,11,4.3,glassdoor,2024-09-23 00:52:04.461133
Adobe,Principal Software Engineer,"New York, NY",312832,15,3.5,glassdoor,2024-12-06 00:52:04.461136
VMware,DevOps Engineer,"Denver, CO",136709,6,3.0,glassdoor,2025-03-08 00:52:04.461140
Databricks,Engineering Manager,"Boston, MA",177721,1,4.0,glassdoor,2025-02-05 00:52:04.461144
Adobe,Senior Data Scientist,Remote - US,135645,15,3.4,glassdoor,2025-06-14 00:52:04.461147
Adobe,DevOps Engineer,"Los Angeles, CA",106061,14,3.6,glassdoor,2024-11-15 00:52:04.461151
Adobe,Senior Engineering Manager,"Seattle, WA",180838,16,3.3,glassdoor,2025-04-19 00:52:04.461154
Airbnb,DevOps Engineer,"Denver, CO",121406,0,4.6,glassdoor,2025-01-01 00:52:04.461158
OpenAI,Senior Engineering Manager,"San Francisco, CA",220350,19,4.7,glassdoor,2024-11-04 00:52:04.461161
Uber,ML Engineer,"Toronto, Canada",128559,2,4.3,glassdoor,2024-12-16 00:52:04.461165
OpenAI,Product Manager,Remote - US,84804,15,4.5,glassdoor,2025-07-01 00:52:04.461168
Oracle,Senior Data Scientist,"Los Angeles, CA",110767,13,4.3,glassdoor,2025-07-23 00:52:04.461172
Amazon,Mobile Engineer,"Berlin, Germany",84893,2,3.1,glassdoor,2025-07-13 00:52:04.461175
Netflix,Senior Software Engineer,"Austin, TX",220776,3,4.0,glassdoor,2025-07-29 00:52:04.461179
Microsoft,Security Engineer,"Berlin, Germany",88738,15,4.1,glassdoor,2024-09-23 00:52:04.461182
Salesforce,Data Scientist,"San Francisco, CA",159838,11,3.4,glassdoor,2025-08-12 00:52:04.461186
Google,Product Manager,"Berlin, Germany",65842,15,4.9,glassdoor,2025-08-08 00:52:04.461189
Atlassian,Senior Software Engineer,"Los Angeles, CA",114601,17,4.5,glassdoor,2025-02-17 00:52:04.461193
Databricks,Senior Software Engineer,"London, UK",58426,8,4.1,glassdoor,2025-08-12 00:52:04.461196
Stripe,Staff Software Engineer,"Austin, TX",154954,16,3.2,glassdoor,2025-05-22 00:52:04.461200
Adobe,Security Engineer,"Austin, TX",124424,6,4.1,glassdoor,2025-05-13 00:52:04.461203
Salesforce,Senior Engineering Manager,Remote - US,137470,17,3.8,glassdoor,2025-07-25 00:52:04.461207
Cisco,DevOps Engineer,"Berlin, Germany",82032,14,4.4,glassdoor,2025-02-11 00:52:04.461210
Amazon,Senior Engineering Manager,"New York, NY",158546,17,3.8,glassdoor,2025-03-29 00:52:04.461214
Intel,Senior Engineering Manager,Remote - US,117666,19,3.9,glassdoor,2025-03-21 00:52:04.461217
Snowflake,ML Engineer,"Los Angeles, CA",107922,13,4.5,glassdoor,2025-02-09 00:52:04.461221
AMD,ML Engineer,"London, UK",74681,7,4.1,glassdoor,2025-05-31 00:52:04.461224
OpenAI,Data Scientist,"Los Angeles, CA",152179,14,3.9,glassdoor,2025-02-26 00:52:04.461228
Google,Senior Software Engineer,"Boston, MA",207353,19,3.0,glassdoor,2025-07-10 00:52:04.461231
Stripe,Software Engineer,"Boston, MA",120431,7,3.4,glassdoor,2025-04-09 00:52:04.461235
Google,Data Scientist,Remote - US,181148,16,4.1,glassdoor,2024-11-29 00:52:04.461239
Meta,Principal Software Engineer,"San Francisco, CA",448598,14,3.7,glassdoor,2025-07-09 00:52:04.461242
Airbnb,DevOps Engineer,"London, UK",74761,7,3.5,glassdoor,2025-04-17 00:52:04.461246
Apple,Security Engineer,"London, UK",129352,6,4.5,glassdoor,2025-04-04 00:52:04.461249
VMware,Full Stack Engineer,"New York, NY",130576,15,4.7,glassdoor,2024-09-29 00:52:04.461253
NVIDIA,Principal Software Engineer,"London, UK",142502,20,3.6,glassdoor,2024-11-26 00:52:04.461256
OpenAI,Staff Software Engineer,"San Francisco, CA",229338,10,3.7,glassdoor,2025-02-07 00:52:04.461260
GitHub,Principal Software Engineer,"Austin, TX",269188,20,4.7,glassdoor,2025-09-12 00:52:04.461264
IBM,Security Engineer,"San Francisco, CA",182763,9,4.0,glassdoor,2025-04-07 00:52:04.461267
Adobe,Engineering Manager,"Los Angeles, CA",151465,16,4.4,glassdoor,2025-07-01 00:52:04.461271
Microsoft,Security Engineer,"Denver, CO",162496,19,4.2,glassdoor,2025-08-02 00:52:04.461274
Uber,Frontend Engineer,"Boston, MA",165871,12,3.3,glassdoor,2025-03-29 00:52:04.461299
Apple,Full Stack Engineer,"London, UK",161244,1,4.1,glassdoor,2025-05-06 00:52:04.461321
Apple,Security Engineer,Remote - US,168303,13,4.5,glassdoor,2025-07-13 00:52:04.461330
Cisco,Engineering Manager,"Denver, CO",148874,17,3.4,glassdoor,2025-02-27 00:52:04.461335
IBM,Product Manager,Remote - US,135389,19,5.0,glassdoor,2024-12-23 00:52:04.461339
Uber,Senior Product Manager,"Seattle, WA",181738,8,4.6,glassdoor,2025-04-05 00:52:04.461343
Intel,Staff Software Engineer,"Seattle, WA",248305,13,3.8,glassdoor,2025-03-23 00:52:04.461347
Tesla,ML Engineer,"Los Angeles, CA",152149,19,4.3,glassdoor,2025-04-14 00:52:04.461351
Netflix,DevOps Engineer,"London, UK",176404,14,4.2,glassdoor,2025-02-04 00:52:04.461357
Microsoft,Senior Product Manager,"Austin, TX",130192,11,3.3,glassdoor,2025-08-05 00:52:04.461361
Amazon,Senior Software Engineer,"Austin, TX",206957,19,4.9,glassdoor,2025-04-23 00:52:04.461365
Google,ML Engineer,"Toronto, Canada",157175,3,3.6,glassdoor,2025-01-19 00:52:04.461369
Google,ML Engineer,"Austin, TX",213955,17,3.4,glassdoor,2024-12-12 00:52:04.461372
Spotify,Data Scientist,Remote - US,110960,15,4.2,glassdoor,2025-07-07 00:52:04.461376
NVIDIA,Software Engineer,"Chicago, IL",121247,18,4.8,glassdoor,2024-12-22 00:52:04.461379
Microsoft,Data Scientist,"New York, NY",229882,1,3.6,glassdoor,2024-09-26 00:52:04.461383
Oracle,Data Scientist,"San Francisco, CA",152635,14,4.3,glassdoor,2025-09-13 00:52:04.461386
Apple,Security Engineer,"Berlin, Germany",95597,8,4.3,glassdoor,2024-10-15 00:52:04.461390
Databricks,Principal Software Engineer,"San Francisco, CA",277971,9,4.7,glassdoor,2024-10-20 00:52:04.461393
OpenAI,Senior Product Manager,"Chicago, IL",117161,16,5.0,glassdoor,2025-07-29 00:52:04.461397
Snowflake,Full Stack Engineer,"London, UK",107363,17,3.2,glassdoor,2025-06-08 00:52:04.461400
Spotify,Backend Engineer,Remote - US,105168,0,3.1,glassdoor,2024-12-20 00:52:04.461404
Stripe,ML Engineer,"Denver, CO",150463,12,4.5,glassdoor,2025-09-08 00:52:04.461407
Databricks,DevOps Engineer,"Los Angeles, CA",154273,20,3.6,glassdoor,2025-01-04 00:52:04.461411
Airbnb,Senior Software Engineer,"Berlin, Germany",154276,8,4.8,glassdoor,2025-09-02 00:52:04.461414
Adobe,Data Scientist,"Austin, TX",127209,4,3.7,glassdoor,2025-02-28 00:52:04.461418
Intel,Engineering Manager,"Seattle, WA",223989,12,4.0,glassdoor,2024-10-05 00:52:04.461422
Oracle,Senior Product Manager,"Chicago, IL",110592,7,4.1,glassdoor,2025-02-11 00:52:04.461425
